"state","disaster","cost"
"AK","wildfire",2.3
"AL","tropical.cyclone",26.3
"AR","severe.storm",9.5
"AZ","severe.storm",5.3
"CA","wildfire",97.3
"CO","severe.storm",28.2
"CT","tropical.cyclone",5.8
"DE","tropical.cyclone",1
"FL","tropical.cyclone",357.6
"GA","tropical.cyclone",18.3
"HI","tropical.cyclone",6.7
"IA","flooding",23.7
"ID","wildfire",3.5
"IL","severe.storm",23.4
"IN","severe.storm",13.5
"KS","drought",22.5
"KY","severe.storm",15.1
"LA","tropical.cyclone",261.7
"MA","winter.storm",5.1
"MD","tropical.cyclone",6.3
"ME","winter.storm",1.6
"MI","severe.storm",5.8
"MN","severe.storm",22.6
"MO","severe.storm",24.4
"MS","tropical.cyclone",60.1
"MT","drought",12.7
"NC","tropical.cyclone",66.4
"ND","drought",22.8
"NE","drought",15.8
"NH","winter.storm",1.6
"NJ","tropical.cyclone",51.7
"NM","drought",3.1
"NV","wildfire",1.2
"NY","tropical.cyclone",66.5
"OH","severe.storm",16.9
"OK","severe.storm",24.8
"OR","wildfire",5.8
"PA","tropical.cyclone",11.5
"PR","tropical.cyclone",122.4
"RI","tropical.cyclone",1.3
"SC","tropical.cyclone",23.7
"SD","drought",13.6
"TN","severe.storm",21.8
"TX","tropical.cyclone",233.8
"UT","flooding",1.6
"VA","tropical.cyclone",10.4
"VI","tropical.cyclone",20.4
"VT","winter.storm",1.2
"WA","drought",3.9
"WI","severe.storm",8.7
"WV","flooding",2.8
"WY","drought",2.7
